date,Albuquerque-Santa Fe NM,Atlanta GA,Austin TX,Bakersfield CA,Baltimore MD,Boston MA-Manchester NH,Charlotte NC,Chicago IL,Colorado Springs-Pueblo CO,Columbus OH,Dallas-Ft. Worth TX,Denver CO,Detroit MI,El Paso TX,Fresno-Visalia CA,Houston TX,Jacksonville FL,Kansas City MO,Las Vegas NV,Los Angeles CA,Louisville KY,Memphis TN,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Nashville TN,New York NY,Norfolk-Portsmouth-Newport News VA,Oklahoma City OK,Omaha NE,Ontario,Philadelphia PA,Phoenix AZ,Portland OR,Raleigh-Durham (Fayetteville) NC,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Seattle-Tacoma WA,Tucson AZ,Tulsa OK,Washington DC (Hagerstown MD),Wichita-Hutchinson KS
2018-02-25,27.685,19.228,29.015,21.377,33.022,29.374,23.763,26.96,20.985,24.769,12.809,42.831,24.15,,51.5,12.629,27.239,25.341,,59.525,56.039,15.955,24.708,41.606,19.341,18.75,38.809,69.876,29.383,30.472,32.798,40.73,35.174,30.542,19.863,52.555,28.111,35.865,53.467,28.414,34.18,35.181,27.706
2018-03-04,,31.774,,32.988,44.029,38.345,74.325,26.642,43.473,,39.394,28.966,30.142,36.997,47.604,35.195,,55.965,27.584,50.119,15.906,,56.639,35.28,30.227,35.754,41.869,64.187,21.176,,7.88,48.256,32.338,45.219,27.863,95.555,30.685,38.819,45.13,21.934,59.485,,
2018-03-11,25.106,25.659,81.95,,24.132,33.751,58.664,22.201,21.74,,37.921,20.798,20.434,,15.693,28.94,,29.372,29.318,34.994,,30.246,21.278,,26.121,64.744,18.664,18.011,,,11.619,31.886,47.594,41.391,,68.083,46.061,27.848,56.871,,32.99,36.29,
2018-03-18,,17.787,60.0,19.261,53.035,36.241,30.198,44.508,25.255,20.817,38.434,22.297,70.136,54.227,23.54,26.435,,62.147,37.651,41.498,28.263,55.436,55.504,,23.97,17.394,36.572,,33.049,,10.129,26.222,41.937,27.774,,83.419,29.565,44.304,39.797,29.0,26.992,50.308,48.234
2018-03-25,,32.614,,42.279,32.998,,37.848,16.206,,40.236,36.095,48.511,23.248,37.022,43.516,32.199,34.028,66.656,,65.854,24.332,56.185,42.821,23.0,51.165,,21.561,32.901,31.315,28.705,10.036,52.251,26.168,51.832,,32.556,22.191,52.321,30.649,40.963,,51.206,50.235
2018-04-01,35.324,35.538,35.447,34.563,,16.28,21.932,33.835,,,52.799,39.956,27.533,45.0,58.5,41.987,16.989,49.261,41.347,64.259,55.0,26.743,54.647,43.0,21.672,,49.611,36.237,22.353,,9.309,30.765,55.271,33.535,23.773,34.428,28.205,30.802,73.856,,,54.757,42.033
2018-04-08,29.419,48.432,19.412,20.862,,14.465,20.24,36.308,,,34.305,45.518,33.627,,20.007,56.744,,25.989,34.771,46.271,46.0,27.273,,28.019,,34.274,63.312,41.456,29.617,38.851,14.304,29.603,39.962,31.684,20.0,25.445,23.899,63.713,56.741,26.695,,38.255,32.348
2018-04-15,25.263,44.273,17.823,,39.8,35.77,33.706,42.074,,15.76,59.004,21.156,35.573,23.374,26.805,34.104,24.419,,,43.641,34.0,52.588,53.958,33.216,23.719,16.428,66.453,34.165,24.706,27.114,8.963,35.676,19.384,16.605,,36.99,34.412,40.506,57.386,19.0,29.853,37.21,
2018-04-22,37.771,18.87,24.487,23.236,22.617,33.88,,19.506,37.847,41.472,27.048,20.16,35.149,26.351,,49.983,31.715,28.245,24.003,26.798,,26.491,54.078,28.536,33.858,20.293,25.095,,23.737,27.847,15.2,21.769,39.252,,13.0,,32.192,60.759,28.346,,17.89,37.09,
2018-04-29,28.301,32.479,31.53,26.809,,23.021,35.235,37.954,,,24.298,61.713,55.083,30.854,,31.168,,38.65,,56.721,36.0,27.173,16.549,20.545,,17.921,34.516,48.882,88.824,24.262,15.374,39.029,,38.57,,,30.494,42.616,38.804,,30.569,31.609,
2018-05-06,21.499,26.641,28.604,20.691,,48.232,44.942,19.336,,26.238,48.636,,38.364,,,16.772,,76.836,46.36,72.317,48.886,,35.14,27.8,43.485,,37.344,28.018,36.546,24.047,16.233,39.973,29.968,27.929,35.454,33.726,22.222,30.38,48.916,29.467,28.991,35.602,
